p_mut	p_inf	n_inf_n_mean
2.5118864315095796e-7	0.0095	4833.333333333333
2.5118864315095796e-7	0.01	4833.333333333333
3.9810717055349735e-7	0.0	0.0
3.9810717055349735e-7	0.0005	0.0
3.9810717055349735e-7	0.001	0.0
3.9810717055349735e-7	0.0015	0.0
3.9810717055349735e-7	0.002	0.0
3.9810717055349735e-7	0.0025	0.0
3.9810717055349735e-7	0.003	0.0
3.9810717055349735e-7	0.0035	0.0
3.9810717055349735e-7	0.004	0.0
3.9810717055349735e-7	0.0045	0.0
3.9810717055349735e-7	0.005	0.0
3.9810717055349735e-7	0.0055	0.0
3.9810717055349735e-7	0.006	0.0
3.9810717055349735e-7	0.0065	666.6666666666666
3.9810717055349735e-7	0.007	1333.3333333333333
3.9810717055349735e-7	0.0075	1833.3333333333333
3.9810717055349735e-7	0.008	3666.6666666666665
3.9810717055349735e-7	0.0085	4166.666666666667
3.9810717055349735e-7	0.009	4166.666666666667
3.9810717055349735e-7	0.0095	4500.0
3.9810717055349735e-7	0.01	4500.0
6.309573444801933e-7	0.0	0.0
6.309573444801933e-7	0.0005	0.0
6.309573444801933e-7	0.001	0.0
6.309573444801933e-7	0.0015	0.0
6.309573444801933e-7	0.002	0.0
6.309573444801933e-7	0.0025	0.0
6.309573444801933e-7	0.003	0.0
6.309573444801933e-7	0.0035	0.0
6.309573444801933e-7	0.004	0.0
6.309573444801933e-7	0.0045	0.0
6.309573444801933e-7	0.005	0.0
6.309573444801933e-7	0.0055	333.3333333333333
6.309573444801933e-7	0.006	166.66666666666666
6.309573444801933e-7	0.0065	166.66666666666666
6.309573444801933e-7	0.007	2000.0
6.309573444801933e-7	0.0075	2166.6666666666665
6.309573444801933e-7	0.008	2833.3333333333335
6.309573444801933e-7	0.0085	4333.333333333333
6.309573444801933e-7	0.009	4333.333333333333
6.309573444801933e-7	0.0095	4500.0
6.309573444801933e-7	0.01	4666.666666666667
1.0e-6	0.0	0.0
1.0e-6	0.0005	0.0
1.0e-6	0.001	0.0
1.0e-6	0.0015	0.0
1.0e-6	0.002	0.0
1.0e-6	0.0025	0.0
1.0e-6	0.003	0.0
1.0e-6	0.0035	0.0
1.0e-6	0.004	0.0
1.0e-6	0.0045	0.0
1.0e-6	0.005	0.0
1.0e-6	0.0055	166.66666666666666
1.0e-6	0.006	333.3333333333333
1.0e-6	0.0065	0.0
1.0e-6	0.007	1666.6666666666667
1.0e-6	0.0075	2833.3333333333335
1.0e-6	0.008	4000.0
1.0e-6	0.0085	4000.0
1.0e-6	0.009	4833.333333333333
1.0e-6	0.0095	4666.666666666667
1.0e-6	0.01	5000.0
1.5848931924611143e-6	0.0	0.0
1.5848931924611143e-6	0.0005	0.0
1.5848931924611143e-6	0.001	0.0
1.5848931924611143e-6	0.0015	0.0
1.5848931924611143e-6	0.002	0.0
1.5848931924611143e-6	0.0025	0.0
1.5848931924611143e-6	0.003	0.0
1.5848931924611143e-6	0.0035	0.0
1.5848931924611143e-6	0.004	0.0
1.5848931924611143e-6	0.0045	0.0
1.5848931924611143e-6	0.005	166.66666666666666
1.5848931924611143e-6	0.0055	0.0
1.5848931924611143e-6	0.006	833.3333333333334
1.5848931924611143e-6	0.0065	666.6666666666666
1.5848931924611143e-6	0.007	1500.0
1.5848931924611143e-6	0.0075	2166.6666666666665
1.5848931924611143e-6	0.008	3500.0
1.5848931924611143e-6	0.0085	3833.3333333333335
1.5848931924611143e-6	0.009	4500.0
1.5848931924611143e-6	0.0095	4833.333333333333
1.5848931924611143e-6	0.01	4666.666666666667
2.5118864315095797e-6	0.0	0.0
2.5118864315095797e-6	0.0005	0.0
2.5118864315095797e-6	0.001	0.0
2.5118864315095797e-6	0.0015	0.0
2.5118864315095797e-6	0.002	0.0
2.5118864315095797e-6	0.0025	0.0
2.5118864315095797e-6	0.003	0.0
2.5118864315095797e-6	0.0035	0.0
2.5118864315095797e-6	0.004	0.0
2.5118864315095797e-6	0.0045	166.66666666666666
2.5118864315095797e-6	0.005	166.66666666666666
2.5118864315095797e-6	0.0055	333.3333333333333
2.5118864315095797e-6	0.006	166.66666666666666
2.5118864315095797e-6	0.0065	666.6666666666666
2.5118864315095797e-6	0.007	1166.6666666666667
2.5118864315095797e-6	0.0075	1833.3333333333333
2.5118864315095797e-6	0.008	3166.6666666666665
2.5118864315095797e-6	0.0085	3666.6666666666665
2.5118864315095797e-6	0.009	4500.0
2.5118864315095797e-6	0.0095	4833.333333333333
2.5118864315095797e-6	0.01	4333.333333333333
3.981071705534973e-6	0.0	0.0
3.981071705534973e-6	0.0005	0.0
3.981071705534973e-6	0.001	0.0
3.981071705534973e-6	0.0015	0.0
3.981071705534973e-6	0.002	0.0
3.981071705534973e-6	0.0025	0.0
3.981071705534973e-6	0.003	0.0
3.981071705534973e-6	0.0035	0.0
3.981071705534973e-6	0.004	0.0
3.981071705534973e-6	0.0045	0.0
3.981071705534973e-6	0.005	0.0
3.981071705534973e-6	0.0055	0.0
3.981071705534973e-6	0.006	333.3333333333333
3.981071705534973e-6	0.0065	333.3333333333333
3.981071705534973e-6	0.007	1500.0
3.981071705534973e-6	0.0075	1500.0
3.981071705534973e-6	0.008	3166.6666666666665
3.981071705534973e-6	0.0085	3166.6666666666665
3.981071705534973e-6	0.009	3500.0
3.981071705534973e-6	0.0095	4500.0
3.981071705534973e-6	0.01	4500.0
6.3095734448019305e-6	0.0	0.0
6.3095734448019305e-6	0.0005	0.0
6.3095734448019305e-6	0.001	0.0
6.3095734448019305e-6	0.0015	0.0
6.3095734448019305e-6	0.002	0.0
6.3095734448019305e-6	0.0025	0.0
6.3095734448019305e-6	0.003	0.0
6.3095734448019305e-6	0.0035	0.0
6.3095734448019305e-6	0.004	0.0
6.3095734448019305e-6	0.0045	0.0
6.3095734448019305e-6	0.005	0.0
6.3095734448019305e-6	0.0055	0.0
6.3095734448019305e-6	0.006	833.3333333333334
6.3095734448019305e-6	0.0065	166.66666666666666
6.3095734448019305e-6	0.007	1666.6666666666667
6.3095734448019305e-6	0.0075	1000.0
6.3095734448019305e-6	0.008	2166.6666666666665
6.3095734448019305e-6	0.0085	3500.0
6.3095734448019305e-6	0.009	3333.3333333333335
6.3095734448019305e-6	0.0095	4000.0
6.3095734448019305e-6	0.01	4500.0
1.0e-5	0.0	0.0
1.0e-5	0.0005	0.0
1.0e-5	0.001	0.0
1.0e-5	0.0015	0.0
1.0e-5	0.002	0.0
1.0e-5	0.0025	0.0
1.0e-5	0.003	0.0
1.0e-5	0.0035	0.0
1.0e-5	0.004	0.0
1.0e-5	0.0045	0.0
1.0e-5	0.005	0.0
1.0e-5	0.0055	0.0
1.0e-5	0.006	166.66666666666666
1.0e-5	0.0065	500.0
1.0e-5	0.007	833.3333333333334
1.0e-5	0.0075	1500.0
1.0e-5	0.008	1500.0
1.0e-5	0.0085	1833.3333333333333
1.0e-5	0.009	4166.666666666667
1.0e-5	0.0095	4000.0
1.0e-5	0.01	4333.333333333333
1.584893192461114e-5	0.0	0.0
1.584893192461114e-5	0.0005	0.0
1.584893192461114e-5	0.001	0.0
1.584893192461114e-5	0.0015	0.0
1.584893192461114e-5	0.002	0.0
1.584893192461114e-5	0.0025	0.0
1.584893192461114e-5	0.003	0.0
1.584893192461114e-5	0.0035	0.0
1.584893192461114e-5	0.004	0.0
1.584893192461114e-5	0.0045	0.0
1.584893192461114e-5	0.005	0.0
1.584893192461114e-5	0.0055	166.66666666666666
1.584893192461114e-5	0.006	333.3333333333333
1.584893192461114e-5	0.0065	500.0
1.584893192461114e-5	0.007	500.0
1.584893192461114e-5	0.0075	1500.0
1.584893192461114e-5	0.008	2166.6666666666665
1.584893192461114e-5	0.0085	2666.6666666666665
1.584893192461114e-5	0.009	2833.3333333333335
1.584893192461114e-5	0.0095	3333.3333333333335
1.584893192461114e-5	0.01	3500.0
2.5118864315095798e-5	0.0	0.0
2.5118864315095798e-5	0.0005	0.0
2.5118864315095798e-5	0.001	0.0
2.5118864315095798e-5	0.0015	0.0
2.5118864315095798e-5	0.002	0.0
2.5118864315095798e-5	0.0025	0.0
2.5118864315095798e-5	0.003	0.0
2.5118864315095798e-5	0.0035	0.0
2.5118864315095798e-5	0.004	0.0
2.5118864315095798e-5	0.0045	0.0
2.5118864315095798e-5	0.005	0.0
2.5118864315095798e-5	0.0055	333.3333333333333
2.5118864315095798e-5	0.006	666.6666666666666
2.5118864315095798e-5	0.0065	833.3333333333334
2.5118864315095798e-5	0.007	1000.0
2.5118864315095798e-5	0.0075	1166.6666666666667
2.5118864315095798e-5	0.008	1000.0
2.5118864315095798e-5	0.0085	833.3333333333334
2.5118864315095798e-5	0.009	2000.0
2.5118864315095798e-5	0.0095	2666.6666666666665
2.5118864315095798e-5	0.01	3333.3333333333335
3.9810717055349735e-5	0.0	0.0
3.9810717055349735e-5	0.0005	0.0
3.9810717055349735e-5	0.001	0.0
3.9810717055349735e-5	0.0015	0.0
3.9810717055349735e-5	0.002	0.0
3.9810717055349735e-5	0.0025	0.0
3.9810717055349735e-5	0.003	0.0
3.9810717055349735e-5	0.0035	0.0
3.9810717055349735e-5	0.004	0.0
3.9810717055349735e-5	0.0045	0.0
3.9810717055349735e-5	0.005	166.66666666666666
3.9810717055349735e-5	0.0055	166.66666666666666
3.9810717055349735e-5	0.006	0.0
3.9810717055349735e-5	0.0065	0.0
3.9810717055349735e-5	0.007	500.0
3.9810717055349735e-5	0.0075	833.3
3.9810717055349735e-5	0.008	1000.0
3.9810717055349735e-5	0.0085	1500.0
