p_mut	p_inf	n_inf_n_maximum
0.002511886431509582	0.005	0
0.002511886431509582	0.0055	0
0.002511886431509582	0.006	0
0.002511886431509582	0.0065	0
0.002511886431509582	0.007	0
0.002511886431509582	0.0075	0
0.002511886431509582	0.008	0
0.002511886431509582	0.0085	0
0.002511886431509582	0.009	0
0.002511886431509582	0.0095	0
0.002511886431509582	0.01	0
0.003981071705534969	0.0	0
0.003981071705534969	0.0005	0
0.003981071705534969	0.001	0
0.003981071705534969	0.0015	0
0.003981071705534969	0.002	0
0.003981071705534969	0.0025	0
0.003981071705534969	0.003	0
0.003981071705534969	0.0035	0
0.003981071705534969	0.004	0
0.003981071705534969	0.0045	0
0.003981071705534969	0.005	0
0.003981071705534969	0.0055	0
0.003981071705534969	0.006	0
0.003981071705534969	0.0065	0
0.003981071705534969	0.007	0
0.003981071705534969	0.0075	0
0.003981071705534969	0.008	0
0.003981071705534969	0.0085	0
0.003981071705534969	0.009	0
0.003981071705534969	0.0095	0
0.003981071705534969	0.01	0
0.00630957344480193	0.0	0
0.00630957344480193	0.0005	0
0.00630957344480193	0.001	0
0.00630957344480193	0.0015	0
0.00630957344480193	0.002	0
0.00630957344480193	0.0025	0
0.00630957344480193	0.003	0
0.00630957344480193	0.0035	0
0.00630957344480193	0.004	0
0.00630957344480193	0.0045	0
0.00630957344480193	0.005	0
0.00630957344480193	0.0055	0
0.00630957344480193	0.006	0
0.00630957344480193	0.0065	0
0.00630957344480193	0.007	0
0.00630957344480193	0.0075	0
0.00630957344480193	0.008	0
0.00630957344480193	0.0085	0
0.00630957344480193	0.009	0
0.00630957344480193	0.0095	0
0.00630957344480193	0.01	0
0.01	0.0	0
0.01	0.0005	0
0.01	0.001	0
0.01	0.0015	0
0.01	0.002	0
0.01	0.0025	0
0.01	0.003	0
0.01	0.0035	0
0.01	0.004	0
0.01	0.0045	0
0.01	0.005	0
0.01	0.0055	0
0.01	0.006	0
0.01	0.0065	0
0.01	0.007	0
0.01	0.0075	0
0.01	0.008	0
0.01	0.0085	0
0.01	0.009	0
0.01	0.0095	0
0.01	0.01	0
0.01584893192461114	0.0	0
0.01584893192461114	0.0005	0
0.01584893192461114	0.001	0
0.01584893192461114	0.0015	0
0.01584893192461114	0.002	0
0.01584893192461114	0.0025	0
0.01584893192461114	0.003	0
0.01584893192461114	0.0035	0
0.01584893192461114	0.004	0
0.01584893192461114	0.0045	0
0.01584893192461114	0.005	0
0.01584893192461114	0.0055	0
0.01584893192461114	0.006	0
0.01584893192461114	0.0065	0
0.01584893192461114	0.007	0
0.01584893192461114	0.0075	0
0.01584893192461114	0.008	0
0.01584893192461114	0.0085	0
0.01584893192461114	0.009	0
0.01584893192461114	0.0095	0
0.01584893192461114	0.01	0
0.025118864315095822	0.0	0
0.025118864315095822	0.0005	0
0.025118864315095822	0.001	0
0.025118864315095822	0.0015	0
0.025118864315095822	0.002	0
0.025118864315095822	0.0025	0
0.025118864315095822	0.003	0
0.025118864315095822	0.0035	0
0.025118864315095822	0.004	0
0.025118864315095822	0.0045	0
0.025118864315095822	0.005	0
0.025118864315095822	0.0055	0
0.025118864315095822	0.006	0
0.025118864315095822	0.0065	0
0.025118864315095822	0.007	0
0.025118864315095822	0.0075	0
0.025118864315095822	0.008	0
0.025118864315095822	0.0085	0
0.025118864315095822	0.009	0
0.025118864315095822	0.0095	0
0.025118864315095822	0.01	0
0.03981071705534969	0.0	0
0.03981071705534969	0.0005	0
0.03981071705534969	0.001	0
0.03981071705534969	0.0015	0
0.03981071705534969	0.002	0
0.03981071705534969	0.0025	0
0.03981071705534969	0.003	0
0.03981071705534969	0.0035	0
0.03981071705534969	0.004	0
0.03981071705534969	0.0045	0
0.03981071705534969	0.005	0
0.03981071705534969	0.0055	0
0.03981071705534969	0.006	0
0.03981071705534969	0.0065	0
0.03981071705534969	0.007	0
0.03981071705534969	0.0075	0
0.03981071705534969	0.008	0
0.03981071705534969	0.0085	0
0.03981071705534969	0.009	0
0.03981071705534969	0.0095	0
0.03981071705534969	0.01	0
0.0630957344480193	0.0	0
0.0630957344480193	0.0005	0
0.0630957344480193	0.001	0
0.0630957344480193	0.0015	0
0.0630957344480193	0.002	0
0.0630957344480193	0.0025	0
0.0630957344480193	0.003	0
0.0630957344480193	0.0035	0
0.0630957344480193	0.004	0
0.0630957344480193	0.0045	0
0.0630957344480193	0.005	0
0.0630957344480193	0.0055	0
0.0630957344480193	0.006	0
0.0630957344480193	0.0065	0
0.0630957344480193	0.007	0
0.0630957344480193	0.0075	0
0.0630957344480193	0.008	0
0.0630957344480193	0.0085	0
0.0630957344480193	0.009	0
0.0630957344480193	0.0095	0
0.0630957344480193	0.01	0
